symptom_name	disease_name	cooccurs	tfidf_score	disease_id	symptom_id	doid_code	doid_name
"Aging, Premature"	Acquired Immunodeficiency Syndrome	3	10.39365447	D000163	D019588	DOID:635	acquired immunodeficiency syndrome
"Aging, Premature"	Breast Neoplasms	1	3.46455149	D001943	D019588	DOID:1612	breast cancer
"Aging, Premature"	Colonic Neoplasms	1	3.46455149	D003110	D019588	DOID:219	colon cancer
"Aging, Premature"	Skin Neoplasms	3	10.39365447	D012878	D019588	DOID:4159	skin cancer
"Aging, Premature"	Osteoporosis	10	34.6455149	D010024	D019588	DOID:11476	osteoporosis
"Aging, Premature"	"Arthritis, Rheumatoid"	2	6.929102979	D001172	D019588	DOID:7148	rheumatoid arthritis
"Aging, Premature"	Alzheimer Disease	4	13.85820596	D000544	D019588	DOID:10652	Alzheimer's disease
"Aging, Premature"	Myocardial Ischemia	1	3.46455149	D017202	D019588	DOID:3393	coronary artery disease
"Aging, Premature"	Coronary Artery Disease	1	3.46455149	D003324	D019588	DOID:3393	coronary artery disease
"Aging, Premature"	Atherosclerosis	2	6.929102979	D050197	D019588	DOID:1936	atherosclerosis
"Aging, Premature"	Hypertension	1	3.46455149	D006973	D019588	DOID:10763	hypertension
"Aging, Premature"	"Scleroderma, Systemic"	1	3.46455149	D012595	D019588	DOID:418	systemic scleroderma
"Aging, Premature"	Vitiligo	1	3.46455149	D014820	D019588	DOID:12306	vitiligo
"Aging, Premature"	"Diabetes Mellitus, Type 2"	2	6.929102979	D003924	D019588	DOID:9352	type 2 diabetes mellitus
"Aging, Premature"	Metabolic Syndrome X	1	3.46455149	D024821	D019588	DOID:14221	metabolic syndrome X
"Aging, Premature"	Obesity	2	6.929102979	D009765	D019588	DOID:9970	obesity
Fever	Acquired Immunodeficiency Syndrome	74	45.80138479	D000163	D005334	DOID:635	acquired immunodeficiency syndrome
Fever	Breast Neoplasms	107	66.22632665	D001943	D005334	DOID:1612	breast cancer
Fever	Colonic Neoplasms	27	16.71131607	D003110	D005334	DOID:219	colon cancer
Fever	Skin Neoplasms	44	27.23325582	D012878	D005334	DOID:4159	skin cancer
Fever	Osteoporosis	3	1.856812897	D010024	D005334	DOID:11476	osteoporosis
Fever	"Arthritis, Rheumatoid"	54	33.42263214	D001172	D005334	DOID:7148	rheumatoid arthritis
Fever	Alzheimer Disease	10	6.189376323	D000544	D005334	DOID:10652	Alzheimer's disease
Fever	Myocardial Ischemia	10	6.189376323	D017202	D005334	DOID:3393	coronary artery disease
Fever	Coronary Artery Disease	23	14.23556554	D003324	D005334	DOID:3393	coronary artery disease
Fever	Atherosclerosis	2	1.237875265	D050197	D005334	DOID:1936	atherosclerosis
Fever	Hypertension	30	18.56812897	D006973	D005334	DOID:10763	hypertension
Fever	"Scleroderma, Systemic"	10	6.189376323	D012595	D005334	DOID:418	systemic scleroderma
Fever	"Diabetes Mellitus, Type 2"	3	1.856812897	D003924	D005334	DOID:9352	type 2 diabetes mellitus
Fever	Obesity	17	10.52193975	D009765	D005334	DOID:9970	obesity
Fever	Leprosy	10	6.189376323	D007918	D005334	DOID:1024	leprosy
Fever	Hepatitis B	12	7.427251587	D006509	D005334	DOID:2043	hepatitis B
Fever	Malaria	284	175.7782876	D008288	D005334	DOID:12365	malaria
Fever	Leiomyoma	13	8.04618922	D007889	D005334	DOID:13223	uterine fibroid
Fever	Myosarcoma	3	1.856812897	D009217	D005334	DOID:4045	muscle cancer
Fever	Glioma	3	1.856812897	D005910	D005334	DOID:3070	malignant glioma
Fever	Melanoma	43	26.61431819	D008545	D005334	DOID:1909	melanoma
Fever	Retroperitoneal Neoplasms	10	6.189376323	D012186	D005334	DOID:5875	retroperitoneal cancer
Fever	Esophageal Neoplasms	14	8.665126852	D004938	D005334	DOID:5041	esophageal cancer
Fever	Rectal Neoplasms	13	8.04618922	D012004	D005334	DOID:1993	rectum cancer
Fever	Stomach Neoplasms	26	16.09237844	D013274	D005334	DOID:10534	stomach cancer
Fever	Liver Neoplasms	81	50.13394821	D008113	D005334	DOID:3571	liver cancer
Fever	Pancreatic Neoplasms	13	8.04618922	D010190	D005334	DOID:1793	pancreatic cancer
Fever	Ovarian Neoplasms	47	29.09006872	D010051	D005334	DOID:2394	ovarian cancer
Fever	Head and Neck Neoplasms	12	7.427251587	D006258	D005334	DOID:11934	head and neck cancer
Fever	Laryngeal Neoplasms	5	3.094688161	D007822	D005334	DOID:2596	larynx cancer
Fever	Hematologic Neoplasms	99	61.2748256	D019337	D005334	DOID:2531	hematologic cancer
Fever	Brain Neoplasms	28	17.3302537	D001932	D005334	DOID:1319	brain cancer
Fever	Meningeal Neoplasms	3	1.856812897	D008577	D005334	DOID:3565	meningioma
Fever	Spinal Cord Neoplasms	1	0.618937632	D013120	D005334	DOID:5612	spinal cancer
Fever	Mediastinal Neoplasms	15	9.284064484	D008479	D005334	DOID:5559	mediastinal cancer
Fever	Thymus Neoplasms	2	1.237875265	D013953	D005334	DOID:3277	thymus cancer
Fever	Uterine Neoplasms	17	10.52193975	D014594	D005334	DOID:363	uterine cancer
Fever	Prostatic Neoplasms	18	11.14087738	D011471	D005334	DOID:10283	prostate cancer
Fever	Kidney Neoplasms	108	66.84526429	D007680	D005334	DOID:263	kidney cancer
Fever	"Spondylitis, Ankylosing"	7	4.332563426	D013167	D005334	DOID:7147	ankylosing spondylitis
Fever	"Colitis, Ulcerative"	20	12.37875265	D003093	D005334	DOID:8577	ulcerative colitis
Fever	Crohn Disease	44	27.23325582	D003424	D005334	DOID:8778	Crohn's disease
Fever	Asthma	43	26.61431819	D001249	D005334	DOID:2841	asthma
Fever	"Pulmonary Disease, Chronic Obstructive"	2	1.237875265	D029424	D005334	DOID:3083	chronic obstructive pulmonary disease
Fever	Multiple Sclerosis	30	18.56812897	D009103	D005334	DOID:2377	multiple sclerosis
Fever	Parkinson Disease	20	12.37875265	D010300	D005334	DOID:14330	Parkinson's disease
Fever	Epilepsy	94	58.18013743	D004827	D005334	DOID:1826	epilepsy syndrome
Fever	Migraine Disorders	13	8.04618922	D008881	D005334	DOID:6364	migraine
Fever	Graves Disease	7	4.332563426	D006111	D005334	DOID:12361	Graves' disease
Fever	"Kidney Failure, Chronic"	18	11.14087738	D007676	D005334	DOID:784	chronic kidney failure
Fever	Coronary Disease	18	11.14087738	D003327	D005334	DOID:3393	coronary artery disease
Fever	Mucocutaneous Lymph Node Syndrome	141	87.27020615	D009080	D005334	DOID:13378	Kawasaki disease
Fever	Anemia	55	34.04156978	D000740	D005334	DOID:2355	anemia
Fever	"Lupus Erythematosus, Systemic"	106	65.60738902	D008180	D005334	DOID:9074	systemic lupus erythematosus
Fever	Alopecia Areata	1	0.618937632	D000506	D005334	DOID:986	alopecia areata
Fever	"Diabetes Mellitus, Type 1"	12	7.427251587	D003922	D005334	DOID:9744	type 1 diabetes mellitus
Fever	Hypothyroidism	3	1.856812897	D007037	D005334	DOID:1459	hypothyroidism
Fever	Bipolar Disorder	9	5.570438691	D001714	D005334	DOID:3312	bipolar disorder
Fever	Depressive Disorder	13	8.04618922	D003866	D005334	DOID:1595	endogenous depression
Fever	Schizophrenia	30	18.56812897	D012559	D005334	DOID:5419	schizophrenia
Fever	Polycystic Ovary Syndrome	1	0.618937632	D011085	D005334	DOID:11612	polycystic ovary syndrome
Fever	"Neoplasms, Germ Cell and Embryonal"	9	5.570438691	D009373	D005334	DOID:2994	germ cell cancer
Fever	Mesothelioma	12	7.427251587	D008654	D005334	DOID:1790	malignant mesothelioma
Fever	Bone Neoplasms	14	8.665126852	D001859	D005334	DOID:184	bone cancer
Fever	Bile Duct Neoplasms	5	3.094688161	D001650	D005334	DOID:4606	bile duct cancer
Fever	Gallbladder Neoplasms	4	2.475750529	D005706	D005334	DOID:3121	gallbladder cancer
Fever	Appendiceal Neoplasms	1	0.618937632	D001063	D005334	DOID:11239	appendix cancer
Fever	Jejunal Neoplasms	1	0.618937632	D007580	D005334	DOID:13499	jejunal cancer
Fever	Adrenal Gland Neoplasms	29	17.94919134	D000310	D005334	DOID:3953	adrenal gland cancer
Fever	Testicular Neoplasms	10	6.189376323	D013736	D005334	DOID:2998	testicular cancer
Fever	Eye Neoplasms	4	2.475750529	D005134	D005334	DOID:2174	ocular cancer
Fever	Peripheral Nervous System Neoplasms	1	0.618937632	D010524	D005334	DOID:1192	peripheral nervous system neoplasm
Fever	Vascular Neoplasms	9	5.570438691	D019043	D005334	DOID:175	vascular cancer
Fever	Vulvar Neoplasms	2	1.237875265	D014846	D005334	DOID:1245	vulva cancer
Fever	Ureteral Neoplasms	3	1.856812897	D014516	D005334	DOID:11819	ureter cancer
Fever	Urinary Bladder Neoplasms	28	17.3302537	D001749	D005334	DOID:11054	urinary bladder cancer
